,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
criteo1tb_adamw,,,,,,,,,,,,,
criteo1tb_momentum,8000.0,10666.666666666666,1600.0,16606.06558728218,14718.054141044617,0.29610323905944824,1768.3618187904358,125.45941948890686,108.0,1642.902399301529,1492.0,1.1011410182986119,11752.04038469785
librispeech_conformer_adamw,100000.0,133333.33333333334,20000.0,15987.196931362152,229.4571714401245,0.21398186683654785,15728.239131689072,2404.0306000709534,3037.0,13324.208531618118,16963.0,0.7854865608452584,104750.04936081836
librispeech_conformer_momentum,100000.0,133333.33333333334,20000.0,15176.204578876495,204.4511091709137,0.2343435287475586,7916.0285103321075,1306.9890885353088,3198.0,6609.039421796799,16802.0,0.3933483764907034,52495.5111792785
librispeech_conformer_nadamw,100000.0,133333.33333333334,20000.0,16068.859300136566,230.44667553901672,0.22374415397644043,15831.503861665726,2407.5170197486877,3023.0,13423.986841917038,16977.0,0.7907160771583341,105445.99260627694
librispeech_conformer_nesterov,100000.0,133333.33333333334,20000.0,15332.219555854797,202.4588577747345,0.23332619667053223,8646.660318136215,1390.00479388237,3058.0,7256.655524253845,16942.0,0.42832342841776916,57189.98220548339
librispeech_deepspeech_adamw,60000.0,80000.0,16000.0,13019.599202156067,192.7604444026947,0.20325374603271484,7836.618245840073,1498.2398920059204,2985.0,6338.378353834152,13015.0,0.4870056360994354,39004.97895620394
librispeech_deepspeech_momentum,60000.0,80000.0,16000.0,12659.834283590317,181.98085165023804,0.1851036548614502,7623.784873962402,1472.286423921585,2998.0,6151.498450040817,13002.0,0.47311940086454524,37903.4265292933
librispeech_deepspeech_nadamw,60000.0,80000.0,16000.0,13041.756875038147,200.99336123466492,0.21853232383728027,7875.616693973541,1502.1992180347443,2988.0,6373.417475938797,13012.0,0.48981074976474,39223.5046789169
librispeech_deepspeech_nesterov,60000.0,80000.0,16000.0,12622.830314874649,183.46475672721863,0.17861318588256836,7630.9443101882935,1499.8259012699127,3071.0,6131.118408918381,12929.0,0.4742144333605368,37980.668045262646
ogbg_adamw,60000.0,80000.0,12000.0,4765.924411535263,1159.7461092472076,0.3412590026855469,3603.135900735855,245.5076367855072,793.0,3357.628263950348,11207.0,0.29960098723568734,23976.003032762594
ogbg_momentum,60000.0,80000.0,12000.0,4760.236100435257,1166.381784439087,0.34844136238098145,3590.705176115036,245.04941534996033,803.0,3345.6557607650757,11197.0,0.2987992998807784,23909.057568007967
ogbg_nadamw,60000.0,80000.0,12000.0,4748.310679197311,1146.7158689498901,0.34818029403686523,3598.5672850608826,245.5354359149933,798.0,3353.0318491458893,11202.0,0.2993243928892956,23952.626001532983
ogbg_nesterov,60000.0,80000.0,12000.0,4882.772670984268,1241.2040510177612,0.3677353858947754,3638.36239027977,244.89908409118652,795.0,3393.4633061885834,11205.0,0.3028525931448981,24232.338724132842
wmt_adamw,100000.0,133333.33333333334,20000.0,14593.913423538208,5858.167273759842,0.23141789436340332,8729.42676615715,844.1652889251709,1922.0,7885.261477231979,18078.0,0.4361799688700066,58163.156571424566
wmt_momentum,100000.0,133333.33333333334,20000.0,14426.358990430832,5982.199877023697,0.23742461204528809,8424.429147005081,843.0490510463715,1989.0,7581.38009595871,18011.0,0.4209305477740664,56129.89122806594
wmt_nadamw,100000.0,133333.33333333334,20000.0,14383.438680648804,5503.681744098663,0.23631548881530762,8873.472431182861,844.0413701534271,1889.0,8029.431061029434,18111.0,0.4433455392319272,59119.30021080128
wmt_nesterov,100000.0,133333.33333333334,20000.0,14437.327567338943,5888.384814023972,0.2357771396636963,8525.934787034988,842.3168723583221,1965.0,7683.617914676666,18035.0,0.4260392522692912,56810.38337755466
