,target setting steps,baseline steps,global step,total duration (s),total eval time (s),total logging & checkpointing_time (s),total submission time (s),submission time till eval 2 (s),num steps till eval 2,submission time since eval 2 (s),num steps since eval 2,equilibrium step time (s),projected max submission time (s)
imagenet_resnet_nadamw,140000.0,186666.66666666666,28000.0,13084.34306716919,2245.1645262241364,0.46427059173583984,10826.070421218872,517.8533375263214,1308.0,10308.21708369255,26692.0,0.3861912589424753,72101.75017342495
imagenet_resnet_nesterov,140000.0,186666.66666666666,28000.0,12659.922473192215,2156.7571170330048,0.43301868438720703,10486.450303554535,517.6732680797577,1356.0,9968.777035474777,26644.0,0.3741471639196358,69851.13364547008
imagenet_vit_adamw,140000.0,186666.66666666666,28000.0,14075.047792673111,2720.5636336803436,0.6031069755554199,11337.217742204666,426.0211238861084,1043.0,10911.196618318558,26957.0,0.4047630158518588,75559.61625736626
imagenet_vit_momentum,140000.0,186666.66666666666,28000.0,13445.901243448257,2547.3960349559784,0.5260634422302246,10880.48675942421,425.8988502025604,1049.0,10454.58790922165,26951.0,0.38791094613267224,72429.0235458082
imagenet_vit_nadamw,140000.0,186666.66666666666,28000.0,14456.486483812332,2753.6962769031525,0.5683958530426025,11685.52732682228,426.34562158584595,1015.0,11259.181705236435,26985.0,0.417238529006353,77887.37392916362
imagenet_vit_nesterov,140000.0,186666.66666666666,28000.0,13757.09417629242,2628.1263518333435,0.5592715740203857,11112.588920354843,426.3121557235718,1026.0,10686.276764631271,26974.0,0.3961695248992093,73971.48687102938
librispeech_conformer_adamw,100000.0,133333.33333333334,20000.0,16044.546288251877,229.94672107696533,0.23627781867980957,15806.843983411789,2406.9419887065887,3026.0,13399.9019947052,16974.0,0.7894369031875339,105276.35967799897
librispeech_conformer_momentum,100000.0,133333.33333333334,20000.0,15432.333207130432,208.35035109519958,0.21596479415893555,15206.341142177582,2406.2797107696533,3045.0,12800.061431407928,16955.0,0.7549431690597421,100766.56696894836
librispeech_conformer_nadamw,100000.0,133333.33333333334,20000.0,16163.04326581955,229.94000935554504,0.22588014602661133,15924.823437213898,2407.3476181030273,3007.0,13517.47581911087,16993.0,0.7954731842000159,106078.45097988237
librispeech_conformer_nesterov,100000.0,133333.33333333334,20000.0,15451.765642642975,206.21374440193176,0.22394633293151855,15228.766695976257,2406.25878238678,3062.0,12822.507913589478,16938.0,0.7570260900690446,101025.05690380132
librispeech_deepspeech_adamw,60000.0,80000.0,16000.0,15178.015037536621,235.12140274047852,0.23676228523254395,14934.976596593857,2408.9927504062653,2567.0,12525.983846187592,13433.0,0.9324785115899346,74613.60133834966
librispeech_deepspeech_momentum,60000.0,80000.0,16000.0,14848.787185907364,217.93236303329468,0.2113497257232666,14623.577044487,2408.529631137848,2580.0,12215.047413349152,13420.0,0.9102121768516507,72877.15636299264
librispeech_deepspeech_nadamw,60000.0,80000.0,16000.0,15319.516749858856,239.55403804779053,0.20565199851989746,15073.345287561417,2409.2342808246613,2544.0,12664.111006736755,13456.0,0.9411497478252642,75306.92914837832
librispeech_deepspeech_nesterov,60000.0,80000.0,16000.0,14852.962194681168,216.41537594795227,0.22186517715454102,14628.468552350998,2408.7915501594543,2569.0,12219.677002191544,13431.0,0.9098114066109406,72856.3985754512
ogbg_adamw,60000.0,80000.0,12000.0,4767.9839923381805,1166.1312906742096,0.3558228015899658,3598.357896089554,245.05549788475037,802.0,3353.3023982048035,11198.0,0.2994554740315059,23961.330130231956
ogbg_momentum,60000.0,80000.0,12000.0,4752.32505440712,1173.859403371811,0.35981321334838867,3574.7923941612244,245.039794921875,810.0,3329.7525992393494,11190.0,0.2975650222734003,23809.213908752445
ogbg_nadamw,60000.0,80000.0,12000.0,4953.71764421463,1254.0622725486755,0.3793489933013916,3696.006712913513,245.12684321403503,789.0,3450.879869699478,11211.0,0.3078119587636677,24627.219908842915
ogbg_nesterov,60000.0,80000.0,12000.0,4655.036751508713,1149.8335273265839,0.3476064205169678,3501.554164648056,244.91187000274658,824.0,3256.6422946453094,11176.0,0.2913960535652568,23316.485807085515
wmt_adamw,100000.0,133333.33333333334,20000.0,14619.105593681335,5862.053508281708,0.23551487922668457,8749.93503522873,843.7615945339203,1917.0,7906.173440694809,18083.0,0.43721580715007513,58301.059845570584
wmt_momentum,100000.0,133333.33333333334,20000.0,14337.85234951973,5881.04748249054,0.23356890678405762,8449.75104689598,844.0200328826904,1987.0,7605.73101401329,18013.0,0.4222356639101366,56303.126290044806
wmt_nadamw,100000.0,133333.33333333334,20000.0,14590.462373971939,5665.163120269775,0.23902559280395508,8917.815506219864,843.7392175197601,1882.0,8074.076288700104,18118.0,0.4456383866155262,59423.49932264617
wmt_nesterov,100000.0,133333.33333333334,20000.0,14599.087822437286,5985.20862197876,0.23379063606262207,8606.450365543365,843.9910373687744,1949.0,7762.459328174591,18051.0,0.4300293240360418,57343.10708962811
